path	production_vs_local	github_april_main	drive_baseline	recovery_decision
.wrangler/cache/pages.json	security-sensitive-local-state	missing	unavailable-via-connected-drive	exclude
.wrangler/cache/wrangler-account.json	security-sensitive-local-state	missing	unavailable-via-connected-drive	exclude
_redirects	current-inferred-from-production-behavior	missing	unavailable-via-connected-drive	include
_worker.js	current-inferred-from-production-behavior	missing	unavailable-via-connected-drive	include
ansiedad-perinatal.html	IDENTICAL	present-but-different-or-legacy	unavailable-via-connected-drive	include
assets/analytics.js	IDENTICAL	missing	unavailable-via-connected-drive	include
assets/app.js	IDENTICAL	missing	unavailable-via-connected-drive	include
assets/blog.css	IDENTICAL	missing	unavailable-via-connected-drive	include
assets/booking.css	IDENTICAL	missing	unavailable-via-connected-drive	include
assets/booking.js	IDENTICAL	missing	unavailable-via-connected-drive	include
assets/booking_FLOW_SANDBOX.js	sandbox-artifact	missing	unavailable-via-connected-drive	exclude
assets/forms.js	IDENTICAL	missing	unavailable-via-connected-drive	include
assets/francisca-hero-1200.jpg	IDENTICAL	missing	unavailable-via-connected-drive	include
assets/francisca-hero-1200.webp	IDENTICAL	missing	unavailable-via-connected-drive	include
assets/francisca-hero-480.jpg	IDENTICAL	missing	unavailable-via-connected-drive	include
assets/francisca-hero-480.webp	IDENTICAL	missing	unavailable-via-connected-drive	include
assets/francisca-hero-800.jpg	IDENTICAL	missing	unavailable-via-connected-drive	include
assets/francisca-hero-800.webp	IDENTICAL	missing	unavailable-via-connected-drive	include
assets/francisca-hero-original.png	IDENTICAL	missing	unavailable-via-connected-drive	include
assets/francisca-retrato-1200.jpg	IDENTICAL	missing	unavailable-via-connected-drive	include
assets/francisca-retrato-1200.webp	IDENTICAL	missing	unavailable-via-connected-drive	include
assets/francisca-retrato-480.jpg	IDENTICAL	missing	unavailable-via-connected-drive	include
assets/francisca-retrato-480.webp	IDENTICAL	missing	unavailable-via-connected-drive	include
assets/francisca-retrato-800.jpg	IDENTICAL	missing	unavailable-via-connected-drive	include
assets/francisca-retrato-800.webp	IDENTICAL	missing	unavailable-via-connected-drive	include
assets/francisca-retrato-v2.png	IDENTICAL	missing	unavailable-via-connected-drive	include
assets/francisca-retrato.png	IDENTICAL	missing	unavailable-via-connected-drive	include
assets/home.css	IDENTICAL	missing	unavailable-via-connected-drive	include
assets/images/francisca/francisca-hero-web-1.webp	IDENTICAL	missing	unavailable-via-connected-drive	include
assets/images/francisca/francisca-sobre-mi-web-2.webp	IDENTICAL	missing	unavailable-via-connected-drive	include
assets/images/francisca/francisca-sobre-mi-web-3.webp	IDENTICAL	missing	unavailable-via-connected-drive	include
assets/images/francisca/francisca-sobre-mi-web-4.webp	IDENTICAL	missing	unavailable-via-connected-drive	include
assets/landing.css	IDENTICAL	missing	unavailable-via-connected-drive	include
assets/logo-franciscabustos.png	IDENTICAL	missing	unavailable-via-connected-drive	include
assets/pages.css	IDENTICAL	missing	unavailable-via-connected-drive	include
assets/styles.css	IDENTICAL	missing	unavailable-via-connected-drive	include
assets/tweaks.js	IDENTICAL	missing	unavailable-via-connected-drive	include
backend/AppsScript_PRODUCTION_v5_BASELINE_20260612.gs	security-sensitive-unverified-backend	missing	unavailable-via-connected-drive	exclude
backend/AppsScript_PRODUCTION_v5_ONLINE_ONLY_CANDIDATE.gs	security-sensitive-unverified-backend	missing	unavailable-via-connected-drive	exclude
backend/AppsScript_active.gs	security-sensitive-unverified-backend	missing	unavailable-via-connected-drive	exclude
backend/AppsScript_active_FLOW_PRODUCTION.gs	security-sensitive-unverified-backend	missing	unavailable-via-connected-drive	exclude
backend/AppsScript_active_FLOW_SANDBOX.gs	security-sensitive-unverified-backend	missing	unavailable-via-connected-drive	exclude
backend/AppsScript_flow_v04_PATCH.gs	security-sensitive-unverified-backend	missing	unavailable-via-connected-drive	exclude
backend/AppsScript_leadmagnet.gs	security-sensitive-unverified-backend	missing	unavailable-via-connected-drive	exclude
backend/AppsScript_legacy_PRE_FLOW_DO_NOT_DEPLOY.gs	security-sensitive-unverified-backend	missing	unavailable-via-connected-drive	exclude
backend/Backup_before_Ops_04_18b.gs	security-sensitive-unverified-backend	missing	unavailable-via-connected-drive	exclude
backend/DEPLOY_v19.bat	security-sensitive-unverified-backend	missing	unavailable-via-connected-drive	exclude
backend/booking_flow_v04_PATCH.js	security-sensitive-unverified-backend	missing	unavailable-via-connected-drive	exclude
backend/booking_legacy_PRE_FLOW_DO_NOT_DEPLOY.js	security-sensitive-unverified-backend	missing	unavailable-via-connected-drive	exclude
backend/pago-resultado_v04_PREVIEW.html	security-sensitive-unverified-backend	missing	unavailable-via-connected-drive	exclude
blog.html	IDENTICAL	present-but-different-or-legacy	unavailable-via-connected-drive	include
blog/acompanar-perdida-gestacional.html	IDENTICAL	missing	unavailable-via-connected-drive	include
blog/ansiedad-en-el-embarazo.html	IDENTICAL	missing	unavailable-via-connected-drive	include
blog/ansiedad-postparto.html	IDENTICAL	missing	unavailable-via-connected-drive	include
blog/baby-blues-vs-depresion-postparto.html	IDENTICAL	missing	unavailable-via-connected-drive	include
blog/duelo-gestacional-apoyo-psicologico.html	IDENTICAL	missing	unavailable-via-connected-drive	include
blog/fertilidad-y-salud-mental.html	IDENTICAL	missing	unavailable-via-connected-drive	include
blog/matrescencia-que-es.html	IDENTICAL	missing	unavailable-via-connected-drive	include
blog/primera-sesion-psicologa-perinatal.html	IDENTICAL	missing	unavailable-via-connected-drive	include
blog/sintomas-depresion-postparto.html	IDENTICAL	missing	unavailable-via-connected-drive	include
blog/test-edimburgo-que-mide.html	IDENTICAL	missing	unavailable-via-connected-drive	include
blog/trauma-de-parto.html	IDENTICAL	missing	unavailable-via-connected-drive	include
blog/vinculo-madre-bebe.html	IDENTICAL	missing	unavailable-via-connected-drive	include
contacto.html	IDENTICAL	present-but-different-or-legacy	unavailable-via-connected-drive	include
depresion-postparto.html	IDENTICAL	present-but-different-or-legacy	unavailable-via-connected-drive	include
faq.html	IDENTICAL	present-but-different-or-legacy	unavailable-via-connected-drive	include
guia/10-senales-simple.html	legacy-redirect-target	missing	unavailable-via-connected-drive	exclude
guia/10-senales-v2.html	legacy-redirect-target	missing	unavailable-via-connected-drive	exclude
guia/10-senales.html	IDENTICAL	missing	unavailable-via-connected-drive	include
guia/10-senales.pdf	IDENTICAL	missing	unavailable-via-connected-drive	include
index.html	IDENTICAL	present-but-different-or-legacy	unavailable-via-connected-drive	include
lp.html	IDENTICAL	missing	unavailable-via-connected-drive	include
manage.html	IDENTICAL	missing	unavailable-via-connected-drive	include
pago-resultado.html	IDENTICAL	missing	unavailable-via-connected-drive	include
pago.html	IDENTICAL	missing	unavailable-via-connected-drive	include
